化学式,DOI,充电电压,放电电压,dope,cover,per,cover_material,NSI,R,N,C,0.1C,1C,ICE,I/I,charge_Li,charge_O,charge_F,charge_Na,charge_Mg,charge_Al,charge_S,charge_K,charge_Mn,charge_Fe,charge_Co,charge_Ni,charge_Zr,charge_W,charge_Ta,chaege_Mo
Li1.1Ni0.21Mn0.65Al0.04O2,10.1038/s41560-023-01289-6,2,4.7,1,0,0,,0.505964426,0.960 ,50,0.1,254.40 ,219.00 ,0.759 ,1.620 ,1.100 ,2.000 ,0.000 ,0.000 ,0.000 ,0.040 ,0.000 ,0.000 ,0.650 ,0.000 ,0.000 ,0.210 ,0.000 ,0.000 ,0.000 ,0.000 
LiNi0.85Mn0.10Co0.05O2,10.1039/D4TA05506C,2.8,4.3,1,0,0,,0.847490413,0.670 ,120,0.1,216.00 ,177.92 ,0.800 ,1.255 ,1.000 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.100 ,0.000 ,0.050 ,0.850 ,0.000 ,0.000 ,0.000 ,0.000 
Li1.04Ni0.75Mn0.19Co0.06O2=0.8LiNi0.85Mn0.10Co0.05O2–0.2Li1.2Ni0.16Mn0.56Co0.08O2,,2.8,4.3,1,0,0,,1.125770847,0.890 ,120,0.1,212.00 ,151.40 ,0.830 ,1.640 ,1.040 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.190 ,0.000 ,0.060 ,0.750 ,0.000 ,0.000 ,0.000 ,0.000 
Li1.08Ni0.9Mn0.1O2,10.1016/j.ensm.2023.102775,2.7,4.6,1,0,0,,1.011928851,0.960 ,100,0.1,191.00 ,171.00 ,0.840 ,0.598 ,1.080 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.100 ,0.000 ,0.000 ,0.900 ,0.000 ,0.000 ,0.000 ,0.000 
Li1.2Mn0.535Ni0.128Co0.132O2,10.1016/j.jpowsour.2018.12.069,2,4.8,1,0,0,,0.819029914,0.777 ,100,0.1,284.20 ,170.80 ,0.819 ,1.600 ,1.200 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.535 ,0.000 ,0.132 ,0.128 ,0.000 ,0.000 ,0.000 ,0.000 
Li1.2Mn0.542Ni0.126Co0.129O2,,2,4.8,1,0,0,,0.582913182,0.553 ,100,0.1,265.30 ,156.90 ,0.798 ,2.190 ,1.200 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.542 ,0.000 ,0.129 ,0.126 ,0.000 ,0.000 ,0.000 ,0.000 
Li1.2Mn0.538Ni0.131Co0.127O2,,2,4.8,1,0,0,,0.664078309,0.630 ,100,0.1,253.30 ,143.90 ,0.849 ,1.500 ,1.200 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.538 ,0.000 ,0.127 ,0.131 ,0.000 ,0.000 ,0.000 ,0.000 
Li1.2Mn0.6Ni0.2O2,10.1149/1945-7111/acaa5c,2.5,4.8,1,0,0,,2.624690458,0.830 ,300,0.1,237.00 ,183.00 ,0.750 ,1.543 ,1.200 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.600 ,0.000 ,0.000 ,0.200 ,0.000 ,0.000 ,0.000 ,0.000 
Li1.168Ta0.002(Ni0.139Co0.139Mn0.552)0.998Mo0.002O2,10.1021/acsami.1c03981,2,4.8,1,0,0,,2.023857703,0.800 ,240,0.1,255.48 ,243.20 ,0.822 ,1.947 ,1.168 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.551 ,0.000 ,0.139 ,0.139 ,0.000 ,0.000 ,0.002 ,0.002 
Na0.05Li1.15Mn0.54Ni0.13Co0.13F0.01O1.99(CD),10.1021/acsami.9b13838,2,4.8,1,0,0,,0.959224224,0.910 ,100,0.1,260.00 ,164.00 ,0.790 ,1.800 ,1.150 ,1.990 ,0.000 ,0.050 ,0.000 ,0.000 ,0.000 ,0.000 ,0.540 ,0.000 ,0.130 ,0.130 ,0.000 ,0.000 ,0.000 ,0.000 
